; ： ；
;a ！
bfgs 本宫
bfh 百分号
bfhc 百分号
bfhh 本行
bfhu 暴发户
bfi 奔驰
bfih 本场
bfii 奔驰
bfil 不费吹灰之力
bfiu 奔出
bfj 锛
bfjb 本金
bfjc 锛
bfji 本季
bfjp 本届
bfjq 本就
bfjx 本家 百废俱兴
bfk 本科
bfke 本科
bfkj 本刊
bfku 白费口舌
bfl 本来
bfld 本来
bfli 本利
bflk 本领
bfll 兵分两路
bflq 白费力气
bflw 本类
bfly 本轮
bfm 栟
bfmf 本门
bfmk 本名
bfn 犇
bfng 本能
bfnm 本年
bfnn 笨鸟
bfp 奔跑
bfpc 奔跑
bfpm 本片
bfpn 本票
bfq 不服气
bfqb 不分青红皂白
bfqi 本期
bfqm 本钱
bfqr 不乏其人
bfqv 不分轻重
bfqy 本群
bfr 本人
bfrc 倴
bfrf 本人
bfri 本日
bfrq 不负如来不负卿
bfs 畚
bfse 本色
bfsh 奔丧
bfsi 笨死
bfst 不负所托
bft 奔腾
bftc 奔逃
bftd 坋
bftg 奔腾
bfti 本体
bftm 本田
bftn 本条
bftp 本帖
bftu 本土
bfty 悲愤填膺
bfu 比方说
bfuf 本身
bfug 本省
bfuh 不负韶华
bfui 本事
bfuo 比方说
bfur 贲
bfuu 本书
bfv 笨 百分之
bfvb 百分之百
bfve 本着
bfvh 本章
bfvi 本质
bfvj 本站
bfvo 笨拙
bfvs 笨重
bfvt 不法之徒
bfvu 笨猪
bfvw 不负众望
bfvy 百分之一 捕风捉影
bfvz 本周
bfw 本文
bfwf 本文
bfwu 本无
bfww 本位
bfwx 变法维新
bfx 不放心
bfxb 本心
bfxi 本息
bfxj 白费心机
bfxk 本性
bfxl 本想
bfxn 本校
bfxv 不分轩轾
bfxw 不法行为
bfy 暴风雨
bfye 本页
bfyi 本意
bfyk 本应
bfyr 本源
bfys 奔涌
bfyt 本月
bfyu 并非易事
bfyv 笔锋一转
bfyy 不发一言
bfyz 不费一兵一卒
bfz 不负责
bfze 不负责
bfzi 本子
bfzl 不放在眼里
bfzo 本座
bfzr 不负责任
bfzy 本尊
bfzz 奔走
bg 蹦 甭
bgb 甭
bgbd 半工半读
bgbg 不管不顾
bgbi 笔耕不辍
bgbj 不干不净 毕恭毕敬
bgbl 包工包料
bgbu 蚌埠
bgbw 不管不问
bgby 甭
bgd 不敢当
bgda 蹦跶
bgdd 绷带
bgdh 不敢当
bgdi 蹦迪
bgdj 半个多世纪
bgdr 绷断
bgdt 不共戴天
bgdu 半个多小时
bgdy 半个多月
bge 崩
bgee 不过尔尔
bgeo 崩
bgeq 不告而取
bgf 揼
bgfa 迸发
bgfu 揼
bgg 甭管
bggr 甭管
bggt 不敢苟同
bgh 崩坏
bghk 崩坏
bghr 不甘后人
bghw 不敢或忘
bgi 蚌
bgif 蚌
bgil 蹦床
bgj 镚
bgjb 绷紧
bgji 蹦极
bgjj 百感交集
bgjk 白骨精
bgjm 不甘寂寞
bgjn 不干胶
bgjo 镚
bgjp 崩解
bgk 嘣
bgko 嘣
bgkv 崩溃
bgl 不管了
bgle 不管了
bglh 不甘落后
bglj 八国联军
bgll 波光粼粼
bglm 不敢掠美
bglu 不归路
bgm 帮个忙
bgmh 帮个忙
bgp 祊
bgpf 祊
bgpj 崩盘
bgpk 不公平
bgq 绷起
bgqi 绷起
bgqx 卑躬屈膝
bgr 不过如此
bgrc 不过如此
bgs 绷
bgsf 不够塞牙缝
bgsg 闭关锁国
bgso 绷
bgsy 不管三七二十一
bgt 崩塌
bgta 崩塌
bgtj 博古通今
bgtn 蹦跳
bgty 不关痛痒
bgtz 包工头
bgu 泵
bgue 迸射
bgui 办公室
bguj 半个世纪
bguo 甭说
bgur 不甘示弱
bgus 兵贵神速
bguu 泵
bguv 不敢擅专
bguw 甏
bguy 杯弓蛇影
bgv 半个钟
bgve 绷着
bgvf 秉公执法
bgvi 绷直
bgvl 百舸争流
bgvs 半个钟
bgvt 半个钟头
bgvy 悲观主义
bgw 琫
bgwl 琫
bgws 秉公无私
bgwu 别跟我说
bgwx 报告文学
bgx 不高兴
bgxb 不甘心
bgxk 不高兴
bgxl 甭想
bgxq 不感兴趣
bgxu 半个小时
bgxx 不敢相信
bgy 半个月
bgyb 不敢越雷池一步
bgyq 不顾一切
bgys 不够意思
bgyt 半个月
bgyu 不甘于
bgyx 不苟言笑
bgz 迸
bgzc 不敢造次
bgzi 半个字
bgzk 迸
bgzo 蹦
bgzp 不攻自破
bgzu 闭关自守
bgzv 八竿子打不着
bh 帮
bhb 不会吧
bhba 不会吧
bhbh 帮帮
bhbj 饱汉不知饿汉饥
bhbk 棒冰
bhbm 不慌不忙
bhc 蒡
bhcf 蒡
bhd 浜
bhda 棒打
bhdb 浜
bhdc 北海道
bhdd 变化多端
bhdj 榜单
bhdk 绑定
bhdr 不遑多让
bhe 不寒而栗
bhel 不寒而栗
bhes 不欢而散
bhf 邦
bhfe 邦
bhff 搒
bhfj 帮
bhfu 帮扶
bhfw 绑匪
bhg 不合格
bhge 不合格
bhgl 别鹤孤鸾
bhgr 白虹贯日
bhgs 帮工
bhgv 帮规
bhgx 北回归线
bhh 白花花
bhhe 棒喝
bhhv 帮会
bhhx 白花花
bhhy 不怀好意
bhi 蚌
bhif 帮衬
bhig 磅秤
bhil 不合常理
bhiv 棒槌
bhj 镑
bhjb 绑紧
bhjf 镑
bhji 棒极
bhjn 邦交
bhjx 绑架
bhk 𠳐
bhke 蚌壳
bhky 帮困
bhl 不合理
bhlc 绑牢
bhld 不回来
bhle 帮了
bhlh 悲欢离合
bhli 白鹤亮翅
bhlt 冰火两重天
bhm 棒
bhma 巴哈马
bhmc 变幻莫测
bhme 梆
bhmf 榜
bhmh 帮忙
bhmk 棓
bhml 兵荒马乱
bho 膀
bhof 膀
bhp 绑票
bhpd 帮派
bhph 暴虎冯河
bhpj 不患贫而患不均
bhpn 绑票
bhq 不回去
bhqf 百花齐放
bhql 帮腔
bhqq 棒球
bhqt 碧海青天
bhqu 不回去
bhqy 不合群
bhr 傍
bhre 不好惹
bhrf 帮人
bhs 绑
bhse 绑
bhsj 保护伞
bhsr 不划算
bht 塝
bhtf 塝
bhtv 绑腿
bhu 磅
bhuf 磅
bhuh 帮上
bhui 不合适
bhuo 不好说
bhuy 不合时宜
bhuz 帮手
bhv 帮助
bhve 帮着
bhvn 不惑之年
bhvt 抱恨终天
bhvu 帮助
bhvy 百花争艳
bhw 玤
bhwf 玤
bhwi 变幻无常
bhwj 傍晚
bhwq 变化无穷
bhx 帮下
bhxk 保护性
bhxp 冰魂雪魄
bhxs 帮凶
bhxx 帮下
bhy 谤
bhyf 谤
bhyh 榜样
bhyj 榜眼
bhys 不好意思
bhyt 碧海云天
bhz 绑在
bhzd 绑在
bhzi 棒子
bi 比 逼
bia 鲾
bian 彼岸
biat 鲾
biay 觱
bib 毙
bib/ 皕
bibb 毖
bibd 必败
bibe 邲
bibh 臂膀 不吃不喝
bibi 比比
bibj 罢黜百家
bibk 弊病
bibl 痹
bibn 不吵不闹
bibo 碧波
bibt 坒
bibu 毕
bibv 把持不住
bibw 必备
biby 百吃不厌
bic 蔽
bic/ 芘 苾 萆
bicb 蓖
bici 彼此
bicu 薜 荜
bicw 蔽
bicz 荸
bid 必
bid/ 沘
bidb 泌
bidc 弊
bidd 笔袋
bide 必得
bidg 壁灯
bidk 必定
bidl 濞
bidm 滗
bidq 必成大器
bidr 弊端
bids 壁咚
bidu 必读
bidv 比对
bidw 敝
bidz 鼻窦
bie 陛
biet 陛
bif 比方
bifa 笔法
biff 比分
bifg 避风
bifh 比方
bify 不成方圆
big 庇
bigb 百尺竿头更进一步
bigg 弼
bigh 百川归海
bigj 笔杆
bigl 避光
bigr 闭关
bigs 逼供
bigt 百尺竿头
bigu 髀
bigv 壁柜
bigx 壁挂
bih 秕
bih/ 馝
bihb 秘
bihd 碧海
bihe 闭合
bihl 不差毫厘
biho 避祸
bihr 闭环
bihu 庇护
bihv 避讳
bihx 笔画
bihy 逼婚
bii 彼
biic B超
biiu 壁橱
biiy 彼
bij 铋
bijb 逼近
biji 笔记
bijk 毕竟
bijl 必将
bijm 鼻尖 比肩
bijn 比较
bijq 必究
bijr 闭卷
bijv 别出机杼
bijx 备尝艰辛
bijy 不成敬意
bik 哔
bik/ 咇
bikb 吡
bikc 必考
bikd 避开
bike 鄙
bikj 必看
bikr 赑
biks 鼻孔
biku 哔
bikz 闭口
bil 比例
bilb 比邻
bile 毙了
bili 比例
bilj 碧蓝
bill 鼻梁
biln 拔出萝卜带出泥
bilu 笔录 秘鲁
bilv 比率
bilw 壁垒
bilz 鄙陋
bim 闭
bimc 鼻毛
bimf 闭门
bimj 鞭长莫及
bimk 笔名
bimm 避免
bimo 笔墨
bimu 闭幕
bimw 比美
bin 婢
binb 妣
bini 比拟
binj 避难
binu 婢
binv 婢女
bip 币 半成品
bipb 比拼
bipj 币
bipk 逼平
bipo 逼迫
bipu 裨
bipv 匕
biq 狴
biqi 比起
biql 鼻腔
biqq 壁球
biqt 狴
biqw 不成其为
bir 俾
birb 佖
birf 鄙人
birh 避让
birj 必然
biru 比如
bis 比赛
bisa 比萨
bisd 比赛
bise 闭塞
bisi 必死
bisl 不出所料
bit 畀
bitc 笔套
bite 比特
biti 鼻涕
bitj 笔谈
bitk 笔挺
bitl 畀
bits 笔筒
bitt 不成体统
bitz 鼻头
biu 壁 璧
biu/ 襞
biua 必杀
biub 屄
biug 必胜
biuh 闭上
biui 鄙视
biun 嬖
biuo 臂
biuq 悲春伤秋
biur 贲
biut 壁
biuu 避暑 辟
biuv 避税
biux 不差上下
biuy 笔顺
biuz 匕首
biv 笔
biv/ 舭
bivb 篦
bivc 比照
bivd 逼债
bive 闭着
bivf 逼真
bivg 必争
bivh 臂章
bivi 壁纸 笔直
bivj 臂展
bivl 箅
bivm 不传之秘
bivs 比重
bivt 不吃这一套
bivu 筚
biw 碧
biwb 珌
biwf 逼问
biwj 臂弯
biwt 不成问题
biwu 比武
biwy 觱
bix 愎
bixb 笔芯
bixc 别出心裁
bixh 报仇雪恨
bixi 鼻息
bixk 笔形
bixm 避嫌 避险
bixp 辟邪
bixq 必修
bixr 必选
bixt 鼻血
bixu 必须
bixw 不耻下问
bixx 陛下
bixy 觱
biy 诐
biyb 鼻音
biyc 必要
biye 毕业
biyi 鄙夷
biyj 闭眼
biyr 不齿于人
biys 不吃羊肉惹身臊
biyu 比喻
biyw 不出意外
biyy 避孕
biyz 必有
biz 避
biz/ 跸
bize 逼仄
bizi 鼻子
bizl 鼻
bizo 比作
bizt 逼
bizu 鼻祖
bizv 闭嘴
bizz 逼走
bj 办 背景
bja 办案
bjan 办案
bjb 颁 笔记本
bjb/ 攽
bjbc 板报
bjbd 半百
bjbf 版本
bjbh 包教包会
bjbi 半壁
bjbj 斑斑
bjbk 搬兵
bjbl 半斤八两
bjbm 半边 不紧不慢
bjbo 斑驳
bjbr 颁
bjbs 不见不散
bjbu 颁布 八九不离十
bjbw 癍
bjbx 不疾不徐
bjby 瘢
bjbz 不骄不躁
bjc 半仓
bjcd 板材
bjch 半仓
bjci 班次
bjcs 饱经沧桑
bjcy 板寸
bjd 半
bjdc 搬到 半岛
bjde 不见得
bjdg 板凳
bjdi 班底
bjdj 不计代价
bjdl 不记得了
bjdm 斑点
bjdn 不减当年
bjdr 半段
bjds 搬动
bjdu 伴读
bjdv 八九点钟
bjdx 北京大学
bjdy 湴
bje 阪
bjeh 贝加尔湖
bjel 比肩而立
bjev 不教而诛
bjey 比较而言
bjez 不胫而走
bjf 搬
bjfa 办法
bjfb 拌
bjfd 扮
bjff 半分
bjfi 宝剑锋从磨砺出
bjfq 不解风情
bjft 不进反退
bjfu 饱经风霜
bjfy 扳
bjg 不及格
bjgb 靽
bjge 半个
bjgl 不见棺材不落泪
bjgs 办公
bjgv 版规
bjgx 白驹过隙
bjh 比较好
bjhc 办好
bjhf 瘢痕
bjhg 不计后果
bjhh 保驾护航
bjhj 半酣
bjhv 搬回
bjhx 版画
bji 半场
bjib 边际成本
bjie 班车
bjig 办成
bjih 半场
bjij 班禅
bjiu 搬出
bjj 不仅仅
bjjb 半斤
bjji 班级
bjjk 半径
bjjl 颁奖
bjjn 半角
bjjp 半截
bjjq 斑鸠
bjju 半句
bjjv 比肩接踵
bjjx 搬家 别具匠心
bjjy 钣
bjk 版块
bjka 办卡
bjkd 搬开
bjkg 白驹空谷
bjkk 版块
bjkl 不积跬步无以至千里
bjks 半空
bjku 扮酷
bjl 瓣
bjld 办
bjle 不见了
bjlh 伴郎
bjli 办理
bjlj 斑斓
bjlk 冰激凌
bjlo 半裸
bjlu 半路
bjlv 伴侣
bjlx 背井离乡
bjly 保加利亚 病急乱投医
bjm 板
bjma 斑马
bjmb 柈
bjmd 不结盟运动
bjmg 不结盟
bjmm 版面
bjmy 粄
bjmz 不讲面子
bjn 比基尼
bjni 比基尼
bjnl 伴娘
bjnm 半年
bjns 搬弄
bjny 不拘泥于
bjo 昄
bjoy 昄
bjp 版
bjpb 保健品
bjpd 半拍
bjpk 半瓶
bjpn 半票
bjpw 般配
bjpy 版
bjq 不久前
bjql 不近情理
bjqm 搬迁
bjqq 并驾齐驱
bjqr 版权
bjqu 不计其数
bjqx 不计前嫌
bjr 伴
bjrb 伴
bjrc 不仅如此
bjri 半日
bjrj 不尽然
bjrl 不绝如缕
bjrq 不近人情
bjru 不久人世
bjry 不尽人意
bjs 绊
bjsb 绊
bjsc 悲剧色彩
bjsi 半死
bjsl 不见森林
bjss 不假思索
bjst 巴基斯坦
bjsv 伴随
bjt 坂
bjtm 半天
bjto 办妥
bjtr 不见天日
bjts 半桶
bjtu 半途
bjty 不见兔子不撒鹰
bju 北京市
bjuf 半身
bjug 半生
bjuh 班上
bjui 办事
bjuj 半山
bjuq 杯酒释兵权
bjus 八九十岁
bjuu 半数
bjuv 版税
bjux 北京师范大学
bjuz 扳手
bjv 般
bjvc 不羁之才
bjvd 必经之地
bjvg 办证
bjvh 班长
bjvj 败军之将
bjvl 必经之路
bjvm 百家争鸣 不解之谜
bjvr 搬砖
bjvt 不经之谈
bjvu 版主
bjvx 不见真佛不烧香
bjvy 不解之缘
bjvz 半周
bjw 班
bjw/ 𨭉
bjwd 不讲武德
bjwf 斑纹
bjwg 保家卫国
bjwj 办完
bjwm 不尽完美
bjwt 把酒问青天
bjwu 伴舞
bjww 斑
bjx 百家姓
bjxj 不拘小节
bjxk 颁行
bjxl 扮相
bjxm 半仙
bjxt 不尽相同
bjy 不经意
bjya 板鸭
bjyd 败局已定
bjye 半夜 不绝于耳
bjyf 八九月份
bjyg 别具一格 不拘一格
bjyh 不久以后
bjyi 搬移
bjyj 扮演 不经意间
bjyq 不讲义气
bjyr 半圆
bjyt 半月
bjyv 不经一事不长一智
bjyy 搬运
bjz 败家子
bjzi 班子
bjzo 扮作
bjzt 不进则退
bjzu 班组
bjzv 拌嘴 并肩作战
bjzz 伴奏
bk 并
bka 丙
bkan 并案
bkb 病
bkbb 病
bkbc 冰雹
bkbd 兵败
bkbe 邴
bkbf 不可不防
bkbh 冰棒
bkbk 冰冰
bkbm 病变 不可避免
bkbn 并表
bkbt 闭口不谈
bkbu 并不
bkbv 不可不知
bkby 百看不厌 闭口不言
bkc 并存
bkcy 并存
bkd 冰
bkdc 冰岛
bkdd 不可多得
bkdg 冰灯
bkdk 兵丁
bkdm 冰点
bkdn 冰雕
bkds 冰冻
bkdu 病毒
bkdy 不可动摇
bke 不可遏制
bkev 不可遏制
bkf 摒
bkfa 兵法
bkfb 抦
bkfg 冰封 不可分割
bkfh 病房
bkfk 摒
bkfr 不可否认
bkfu 兵符
bkfw 并非 不可方物
bkg 并购
bkgb 不可改变
bkgc 禀告
bkgd 不肯过江东
bkgf 病根
bkgj 饼干
bkgl 不可估量
bkgr 不可告人
bkgs 秉公
bkgu 病故
bkgv 冰柜
bkgy 冰棍
bkgz 并购
bkh 炳
bkhb 炳
bkhc 病号
bkhd 病害
bkhe 冰河
bkhj 冰寒
bkhq 不可或缺
bkhr 病患
bkhu 不堪回首
bki 蛃
bkib 蛃
bkig 秉承
bkii 秉持
bkij 冰铲
bkil 病床
bkir 冰川
bkiu 摒除
bkj 并将
bkjb 并进
bkjd 不可兼得
bkji 并击
bkjk 冰晶
bkjl 并将
bkjm 并肩
bkjn 冰窖
bkjq 并就
bkju 病句
bkjv 不可居无竹
bkjx 病假
bkjy 病菌 不可救药
bkk 并可
bkke 并可
bkkj 不可开交 不可抗拒
bkkk 冰块
bkkl 不可抗力
bkkz 并口
bkl 不考虑
bkle 病了
bklg 冰冷
bklh 槟榔
bkli 病例
bklk 冰凌
bkll 冰凉
bklm 并联
bklp 并列
bklv 不考虑
bkly 不可理喻
bkm 柄 槟
bkma 兵马
bkmb 百口莫辩
bkmk 禀明
bkmm 不可磨灭
bkmo 病魔
bkmv 不可名状
bkmw 并没
bkn 不可能
bknb 不可能吧
bknd 不可能的
bkng 不可能
bkni 不可逆
bknv 不可逆转
bko 昺
bkob 昺
bkp 秉
bkpd 并排
bkpf 不可偏废
bkpn 秉
bkpu 不靠谱
bkq 兵 不客气
bkqb 兵
bkqf 不可侵犯
bkqi 兵器
bkqj 不可企及
bkqk 病情
bkqp 并且
bkqq 冰球
bkqr 兵权
bkqu 不可缺少
bkqx 不可全信
bkr 病人
bkre 不堪入耳
bkrf 病人
bkrm 不堪入目
bkrs 病容
bkru 并入 不可饶恕
bkrx 碧空如洗
bkry 宾客如云
bks 病死
bksi 病死
bksm 不看僧面看佛面
bksy 不可思议
bkt 病痛
bkta 病榻
bktd 病态 不可替代
bkth 冰糖 不可调和
bkti 病体
bktr 兵团
bkts 病痛
bktv 病退
bktx 不可推卸
bkty 不可同日而语
bku 饼
bkuh 冰上
bkui 病逝
bkuj 冰山
bkuk 屏
bkul 冰霜
bkum 别开生面
bkuu 兵书 不可收拾
bkuv 冰水
bkux 不堪设想
bkv 病症
bkvf 不堪重负
bkvg 病症
bkvl 不可知论
bkvm 不可捉摸
bkvr 不可终日
bkvs 兵种
bkvu 冰柱 不可战胜
bkvv 冰锥
bkvx 不可置信
bkw 禀
bkwh 并网 不可挽回
bkwu 并无
bkww 并未
bkwx 禀
bkwy 不可外扬
bkx 不开心
bkxb 不开心
bkxd 不可懈怠
bkxi 屏息
bkxk 并行
bkxl 冰箱 不可限量
bkxp 冰鞋
bkxq 不可小觑
bkxt 冰雪
bkxu 不可小视
bkxw 不可信其无
bkxx 不可想象
bky 不可以
bkyb 病因
bkyd 不可以的
bkyg 不快也光
bkyi 不可言传
bkyj 不堪一击
bkyk 兵营
bkym 不可以吗
bkys 并用
bkyu 并于 不可一世
bkyv 不可言状
bkyy 不可逾越 不可言喻
bkyz 并有
bkz 并在
bkzc 不可造次
bkzd 并在
bkzi 饼子
bkzj 不堪造就
bkzu 不可再生
bl 本来
blb 玻璃杯
blbc 不理不睬
blbj 波澜不惊
blbl 不伦不类
blbo 白萝卜
blbq 不离不弃 变来变去
blbr 不冷不热
blbw 玻璃杯
blbx 奔流不息
blby 表里不一
blc 不理睬
blcd 不理睬
blcj 不吝赐教
bld 便利店
bldh 波罗的海
bldi 白兰地
bldm 便利店
bldx 薄利多销
ble 不劳而获
bleh 不劳而获
blej 比邻而居
blf 别浪费
blfl 别浪费了
blfm 不露锋芒
blfv 拨乱反正
blfw 别浪费
blfy 不良反应
blg 巴拉圭
blgv 巴拉圭
blh 博览会
blhj 不留痕迹
blhv 博览会
bli 碧螺春
blig 百炼成钢
blih 鬓乱钗横
blij 半路出家
blix 兵临城下
bliy 碧螺春
blj 不了解
bljd 兵来将挡
bljj 濒临绝境
bljl 不良记录
bljp 不了解
blju 本来就是
bljy 八路军
blk 不离开
blkd 不离开
blkf 暴力抗法
blkj 不落窠臼
bll 不聊了
blle 不聊了
blll 筚路蓝缕
bllv 不了了之
blm 爆冷门
blmc 贝雷帽
blmf 爆冷门
blmi 菠萝蜜
blmm 本来面目
blmv 摆龙门阵
blp 舶来品
blpb 舶来品
blpu 步履蹒跚
blq 保龄球
blqf 波澜起伏
blqm 不留情面
blqq 保龄球
blqr 壁立千仞
blqu 博览群书
blr 病来如山倒
blrd 病来如山倒
blry 表里如一
bls 不利索
blse 布鲁塞尔
blso 不利索
blst 巴勒斯坦
blsy 壁垒森严
blt 柏拉图
blth 白里透红
bltu 柏拉图
blty 百里挑一
blu 不论是
blub 不虑胜先虑败
blui 比利时
blus 不露声色
blut 拨乱视听
blv 避雷针
blvf 避雷针
blvj 不吝指教
blvk 波澜壮阔
blvt 别来这一套
blw 芭蕾舞
blwi 逼良为娼
blwj 步履维艰
blwu 白露为霜
blwx 包罗万象
blwy 别来无恙 暴露无遗
blx 不理想
blxg 不良习惯
blxl 不理想
blxn 半老徐娘
blxw 玻璃纤维
bly 不利于
blyd 不留余地
blyf 白龙鱼服
blys 不利因素
blyu 不利于
blyv 表里一致
blyw 本来以为
blz 伯利兹
blzi 不良资产
blzs 暴戾恣睢
blzu 布朗族
blzx 𰻝
bm 边
bma 鳊
bmac 鳊
bmb 不明白
bmbb 不明不白
bmbc 编报
bmbd 变白
bmbi 闭门不出
bmbm 便便
bmbo 辩驳
bmbp 辨别
bmbu 遍布
bmbv 不蔓不枝
bmbx 半梦半醒
bmc 苄
bmcb 苄
bmcc 萹
bmcd 辩才
bmce 鞭策
bmci 辩词
bmcj 便餐
bmd 汴
bmda 变大
bmdb 汴
bmdc 编导
bmde 变得
bmdh 便当
bmdi 遍地 贬低
bmdj 扁担
bmdk 编订
bmdn 变调
bmdr 变短
bmds 变动
bmdv 编队 本末倒置
bmdx 卞
bmdz 扁豆
bme 匾额
bmee 匾额
bmeh 不谋而合
bmf 抃
bmfa 变法
bmfb 抃
bmfg 边锋
bmfh 边防
bmfj 便饭
bmfu 蝙蝠
bmg 鞭 闭门羹
bmge 变革
bmgg 变更
bmgr 边关
bmgs 笔墨官司
bmgu 变故
bmgx 变卦
bmh 扁 煸
bmhc 编号
bmhj 便函
bmhk 变坏
bmhl 变黄
bmhr 变换
bmhs 变红
bmhu 辩护
bmhv 便会
bmhw 变黑
bmhx 变化
bmi 编程
bmia 变差
bmic 蝙
bmie 便车
bmig 变成
bmih 变长
bmii 鞭笞
bmim 摆明车马
bmiu 病魔缠身
bmiv 边陲
bmj 辩解
bmji 编辑
bmjk 边境
bmjl 边疆
bmjm 边检
bmjn 边角
bmjp 便捷
bmju 编剧
bmk 贬
bmkc 匾
bmke 便可
bmkf 贬
bmkk 变快
bmkl 边框
bml 辩 辨
bmlc 变老
bmle 变了
bmlf 八面来风
bmlg 变冷
bmli 便利
bmlj 变懒
bmll 变量 八面玲珑
bmlm 变脸
bmlu 辫
bmlv 变绿
bmly 辩论
bmm 编码
bmma 编码
bmmb 便民
bmmc 边贸
bmmd 变卖
bmmf 边门
bmmh 白茫茫
bmmi 便秘
bmmj 变慢
bmmk 辨明
bmn 本命年
bmnf 班门弄斧
bmnj 辩难
bmnm 本命年
bmnn 便溺
bmnr 变暖
bmnu 不瞒你说
bmnw 编内
bmo 昪
bmoc 昪
bmp 褊
bmpb 变频
bmpc 鞭炮
bmpd 编排
bmph 变胖
bmpj 变盘
bmpk 扁平
bmq 便签
bmql 变强
bmqm 变迁
bmqt 扁鹊
bmqu 编曲
bmqv 不谋其政
bmqx 边卡
bmr 便
bmrf 辨认
bmrg 便
bmro 变弱
bmrr 变软
bmru 编入
bms 编
bms/ 𨚕
bmsc 弁
bmsd 边塞
bmse 变色
bmsg 闭门思过
bmst 闭目塞听
bmsu 变速
bmsy 贬损 不明所以
bmt 变态
bmta 鞭挞
bmtc 扁桃
bmtd 变态
bmth 便溏
bmti 变体
bmtm 变天
bmtn 便条
bmts 变通
bmu 砭
bmua 变傻
bmuc 碥
bmuf 变身
bmug 变声
bmuh 边上
bmui 辨识
bmuk 表面上看
bmul 不明事理
bmuu 变数
bmuz 变瘦
bmv 编织
bmv/ 笾
bmvc 变招
bmvd 不毛之地
bmve 编者
bmvf 变阵
bmvg 辩证
bmvh 不买账
bmvi 编制 贬值
bmvl 便装
bmvr 编撰
bmvs 变种
bmvu 编著
bmvv 百忙之中 拔苗助长
bmvx 不明真相
bmvy 笔墨纸砚
bmvz 北美洲
bmw 变
bmwd 编外 兵马未动
bmwf 八面威风
bmwu 编舞
bmwv 表面文章
bmww 变为
bmwx 兵马未动，粮草先行
bmwy 变
bmwz 白马王子
bmx 忭 保密性
bmxb 变心
bmxi 宝马香车
bmxk 变形
bmxl 变相
bmxm 变现
bmxn 变小
bmxp 编写
bmxq 编修
bmxx 表面现象
bmy 并没有 不满意
bmya 变压
bmyb 编印
bmye 遍野
bmyh 变样
bmyi 变异 编译
bmyj 边沿
bmyk 变硬
bmyq 不名一钱
bmyr 边缘
bmys 兵马俑
bmyu 便于
bmyw 不名一文
bmyz 便有
bmz 遍
bmzc 编造
bmzi 辫子 闭门造车
bmzl 边
bmzo 变作
bmzr 编纂
bmzu 编组
bmzy 不鸣则已
bn 表
bna 鳔
bnax 鳔
bnb 瘭
bnba 标靶
bnbd 表白
bnbf 标本
bnbh 标榜
bnbj 不年不节
bnbk 标兵
bnbn 不男不女
bnbx 瘭
bnby 百年不遇
bnc 蔈
bncg 表层
bnch 藨
bncx 蔈
bnd 标的
bnda 表达
bndd 表带
bndh 瀌
bndi 表弟
bndj 表单 百年大计
bndk 标定
bndm 标点
bndu 本年度
bnf 不耐烦
bnfj 不耐烦
bnfx 摽
bnfy 表
bng 表哥
bnge 表格
bngj 标杆
bngs 表功
bnh 彪
bnhc 标号
bnhh 百年好合
bnhj 彪悍
bnhp 彪
bnhu 裱糊
bnhx 熛
bni 标出
bnie 飙车
bnif 百鸟朝凤
bnii 标尺
bniu 标出
bnj 镖
bnj/ 幖
bnje 不念旧恶
bnjh 镳
bnji 标记
bnjm 标间
bnjp 表姐
bnjs 飑
bnjt 表决
bnju 镖局
bnjx 标价
bnk 不难看出
bnke 镖客
bnki 不难看出
bnl 别闹了
bnle 别闹了
bnli 表里
bnlm 表链
bnlu 表露
bnm 标
bnm/ 骉
bnma 巴拿马
bnmk 表明
bnmm 表面
bnmu 杓
bnmw 表妹
bnmx 骠
bnn 婊
bnnw 表内
bnny 百年难遇
bno 膘
bnox 膘
bnoy 脿
bnp 裱
bnpd 标牌
bnpi 表皮
bnpj 表盘
bnpu 标普
bnpw 标配
bnpy 裱
bnq 飙
bnqb 表亲
bnqk 表情
bnql 标枪
bnqm 标签
bnqx 飙
bnr 俵
bnrh 儦
bnry 俵
bns 表嫂
bnsc 表嫂
bnsy 饱暖思淫欲
bnt 标题
bntd 表态
bnti 标题
bntp 标贴
bntz 表头
bnu 表示
bnuf 搬弄是非
bnug 飙升
bnui 表示
bnuk 表率
bnur 百年树人
bnuu 表述
bnv 白内障
bnvf 表针
bnvg 表征
bnvh 表彰
bnvi 标志
bnvu 标注
bnvy 标准
bnw 表外
bnwd 表外
bnwh 标王
bnx 表现
bnxf 笨鸟先飞
bnxi 飙戏
bnxk 表形
bnxl 表象
bnxm 表现
bnxs 表兄
bnxx 不难想象
bny 表演
bnyb 表音
bnye 表页
bnyh 表扬
bnyi 表意
bnyj 表演
bnyu 标语
bnyz 标有
bnz 婊子
bnzb 不能自拔
bnzi 婊子
bnzw 不怒自威
bnzy 不能自已
bo 拨
boa 鲌
boab 鲌
boai 博爱
boao 博鳌
boar 僰
bob 帛
bobc 播报
bobj 帛
bobk 薄冰
bobo 伯伯
boc 薄
bocc 薄
bocd 菠菜 博彩
boct 蕃
bocy 菠
bod 波
bod/ 浡
boda 拨打
bodb 泊
bodc 波导
bode 博得
bodl 渤
bodn 剥掉
bodo 剥夺
bodr 波段
bods 波动
body 波
bodz 搏斗
boe 剥
boed 剥
